PkLoad,T48PkLoad,T48PkPoint,MeanDry,MeanDew,WeekDay,Month
17561,16767,17,47.4,44.8,3,12
16594,18077,17,38.5,36.8,4,12
19110,17561,17,30.7,18.5,5,12
18682,16594,17,18.1,2.9,6,12
16916,19110,17,24.5,18.2,7,12
17486,18682,17,27.2,18,1,12
18932,16916,17,34,23.1,2,12
19220,17486,17,35.8,30.8,3,12
18514,18932,17,30.4,20.4,4,1
21053,19220,17,17,5,5,1
21060,18514,17,20.8,5.2,6,1
19285,21053,17,12.4,7.6,7,1
18517,21060,17,4.7,-4.8,1,1
18508,19285,17,10.8,-2.3,2,1
21334,18517,17,25.3,17.2,3,1
20698,18508,17,39.8,35.5,4,1
19822,21334,18,11.5,-6,5,1
18902,20698,18,12.2,-3.4,6,1
16766,19822,18,19.8,5.1,7,1
17160,18902,17,25.3,21.2,1,1
17936,16766,17,44.8,43.5,2,1
17882,17160,17,42.1,30.2,3,1
17779,17936,17,38.8,28.1,4,1
18178,17882,17,44.1,41.4,5,1
17382,17779,18,37.5,32.9,6,1
17221,18178,17,35.4,32.8,7,1
17246,17382,17,34.8,27.3,1,1
18507,17221,17,32.2,28.9,2,1
20679,17246,18,29.6,22.2,3,1
20903,18507,17,32.8,20.6,4,1
20467,20679,17,13,0.3,5,1
19974,20903,18,8.3,-5.8,6,1
18208,20467,18,9,-6.3,7,1
19229,19974,18,10,-5.6,1,1
19411,18208,17,23.4,12.1,2,1
20267,19229,18,17,2.1,3,1
19953,19411,18,27.3,14.3,4,1
19603,20267,18,14.1,-8.1,5,1
17915,19953,18,16.9,-3.9,6,1
16535,19603,18,18.6,1.3,7,2
16779,17915,18,30.8,14.1,1,2
18941,16535,18,34.7,21.1,2,2
18580,16779,17,39.3,32.8,3,2
19230,18941,18,30.8,24.5,4,2
18979,18580,18,25.4,17,5,2
18414,19230,18,26.1,22.5,6,2
17624,18979,18,20.1,10,7,2
18072,18414,18,19.8,6.5,1,2
19318,17624,18,20,2.4,2,2
19653,18072,18,22.9,10.5,3,2
19336,19318,18,20.6,9.2,4,2
19227,19653,18,14.4,1.1,5,2
17895,19336,18,14,-1.9,6,2
17686,19227,18,25.5,21.2,7,2
17568,17895,18,31.5,24.5,1,2
18829,17686,18,27.7,22.9,2,2
19290,17568,18,24,10,3,2
18498,18829,18,18.1,-3.6,4,2
17422,19290,18,19.4,11.5,5,2
17263,18498,18,26.3,22.8,6,2
15763,17422,18,36.8,26.4,7,2
16302,17263,17,35.7,34.5,1,2
18525,15763,18,38.9,25.8,2,2
18934,16302,18,40.1,24.5,3,2
19192,18525,18,30.4,11.6,4,2
19099,18934,18,21.3,5.7,5,2
18722,19192,18,18.4,1.8,6,2
17133,19099,18,16.6,0.8,7,3
17323,18722,18,13.7,-9.1,1,3
19695,17133,18,21,4.5,2,3
18927,17323,18,31.1,17.1,3,3
18884,19695,18,18,-1,4,3
18715,18927,18,17.5,-2.2,5,3
17770,18884,18,22.5,10.3,6,3
15612,18715,18,17.5,-4,7,3
16352,17770,7,24.1,11.3,1,3
17161,15612,18,36.9,22.4,2,3
16211,16352,19,32.6,12.5,3,3
16873,17161,19,33.8,21,4,3
18760,16211,19,43,28.9,5,3
17763,16873,19,39.3,32.5,6,3
14901,18760,19,20,9.3,7,3
16724,17763,8,24.9,7.9,1,3
17755,14901,19,42,29.1,2,3
17396,16724,19,28.2,6.5,3,3
17100,17755,19,21.3,-2,4,3
16314,17396,7,26.2,5.3,5,3
15922,17100,19,32.4,20.3,6,3
15135,16314,19,39.7,31.5,7,3
16245,15922,10,36.7,20.1,1,3
17554,15135,10,37.6,23.5,2,3
17351,16245,19,32.7,14.2,3,3
17954,17554,19,22.5,-1.5,4,3
17257,17351,19,26.5,7.8,5,3
15991,17954,19,29.3,8,6,3
14977,17257,7,29.5,2.9,7,3
16056,15991,9,42,33.5,1,3
17131,14977,19,44,38.7,2,3
15846,16056,19,39,36.8,3,4
15770,17131,19,36.3,30.4,4,4
15572,15846,7,41.8,26.9,5,4
15652,15770,20,42.2,30.2,6,4
14519,15572,20,43.7,24.6,7,4
14620,15652,19,40.3,28.1,1,4
16012,14519,20,41.5,31.5,2,4
15458,14620,20,43.2,19.3,3,4
15452,16012,19,45.5,26.3,4,4
15334,15458,19,50.5,44.1,5,4
14833,15452,20,46.5,25.4,6,4
13490,15334,20,45.5,20.8,7,4
14175,14833,10,55.2,39,1,4
15042,13490,20,55.3,34.9,2,4
15515,14175,20,53.4,40.8,3,4
15816,15042,20,62,50.5,4,4
15628,15515,19,57.1,53.5,5,4
15206,15816,20,35.3,19,6,4
13782,15628,20,35.4,19.6,7,4
13331,15206,10,37.4,26.3,1,4
14738,13782,20,48.3,29,2,4
14852,13331,20,45.5,23,3,4
15123,14738,20,50.6,27.3,4,4
14896,14852,19,56.3,41.1,5,4
14325,15123,20,49.7,40.4,6,4
14069,14896,20,48.2,20.5,7,4
14269,14325,10,50.3,23.9,1,4
14989,14069,11,44.8,39.1,2,4
15553,14269,20,45.5,37.2,3,4
15901,14989,20,49,34.7,4,4
15252,15553,20,43.9,34.9,5,5
14346,15901,19,41.7,37.7,6,5
13343,15252,10,51.5,48.4,7,5
13828,14346,11,57,39.1,1,5
14702,13343,20,55.9,38.7,2,5
14739,13828,20,53.5,38.5,3,5
14690,14702,20,54.5,37.5,4,5
14828,14739,20,53.3,32.4,5,5
14741,14690,20,54.5,28.5,6,5
13998,14828,20,54.2,40.4,7,5
13974,14741,11,53.9,49.4,1,5
16075,13998,20,64.8,57.6,2,5
14709,13974,20,67.7,39.2,3,5
14916,16075,20,68.9,42.2,4,5
15816,14709,20,55,41.7,5,5
15750,14916,20,56,44.2,6,5
13793,15816,13,64.3,57.8,7,5
13715,15750,11,64.2,60.2,1,5
14740,13793,11,62.5,49.3,2,5
14881,13715,20,57.4,36.8,3,5
15212,14740,13,57.1,34.5,4,5
15121,14881,20,61.7,39,5,5
14923,15212,13,61.3,44.9,6,5
13335,15121,11,55.9,51.6,7,5
13198,14923,11,56,52.5,1,5
14785,13335,20,56.5,49.5,2,5
16222,13198,20,59.4,51.3,3,5
15030,14785,20,67,53,4,5
14529,16222,13,64,53.2,5,5
14967,15030,11,49.5,45.7,6,5
13266,14529,11,53.5,41.3,7,5
14001,14967,13,57.1,47.6,1,6
16564,13266,11,56.9,47,2,6
17456,14001,20,61.5,42.3,3,6
16134,16564,17,67.6,47.4,4,6
15825,17456,16,67.2,55,5,6
15618,16134,13,61.9,55.4,6,6
15290,15825,11,60.8,57.1,7,6
16382,15618,13,64.9,51.7,1,6
17225,15290,17,69.5,53.1,2,6
17552,16382,17,72.4,54,3,6
16064,17225,13,67.8,56.7,4,6
15902,17552,16,67.5,61.3,5,6
16094,16064,13,62.1,53.5,6,6
14707,15902,13,61.2,55.9,7,6
14778,16094,11,62.2,60.3,1,6
17440,14707,12,65.1,56.8,2,6
20141,14778,20,66.4,51.1,3,6
20718,17440,17,68,48.7,4,6
19028,20141,16,72.8,61,5,6
16752,20718,16,75.7,62.4,6,6
14461,19028,16,72.5,54.2,7,6
14839,16752,14,66.3,43.2,1,6
17850,14461,17,63.7,44.9,2,6
18471,14839,18,65.7,47.9,3,6
21197,17850,16,67.3,53,4,6
20162,18471,14,70,56,5,6
18048,21197,16,73.8,63.5,6,6
17178,20162,13,72,65.2,7,6
17710,18048,16,69.4,53,1,6
21263,17178,17,71.4,54.1,2,6
23099,17710,17,72.5,56.7,3,7
24443,21263,16,75,59.8,4,7
23542,23099,16,77.8,66,5,7
16995,24443,14,78.2,68.9,6,7
14959,23542,15,77.3,69.8,7,7
17171,16995,12,68.3,64.5,1,7
22191,14959,17,69.5,49.6,2,7
23797,17171,17,73.4,52.4,3,7
22837,22191,16,75.8,63.3,4,7
20249,23797,16,78.2,67,5,7
19454,22837,16,77.3,63.7,6,7
18776,20249,17,72.7,57.3,7,7
19033,19454,16,70.8,54.9,1,7
21968,18776,17,72.6,58.4,2,7
22225,19033,17,74.1,63.3,3,7
19412,21968,13,74.9,69,4,7
19352,22225,14,75,71.1,5,7
18691,19412,17,72,66.3,6,7
15788,19352,16,70.6,56.5,7,7
16116,18691,16,69.8,54.1,1,7
19395,15788,13,67.6,57.9,2,7
22850,16116,17,68.1,56.7,3,7
24381,19395,17,69,58.2,4,7
19565,22850,17,75.5,64.1,5,7
18996,24381,16,78.3,67.9,6,7
16932,19565,14,71.9,61.6,7,7
17814,18996,16,70,54.6,1,7
21111,16932,17,71.7,58.7,2,7
18284,17814,17,71,66.1,3,7
18078,21111,16,71.6,65.7,4,7
18673,18284,14,68,55.5,5,7
20147,18078,16,67.7,53.9,6,8
15839,18673,16,69.3,57.5,7,8
15850,20147,13,71.9,63.7,1,8
20252,15839,11,67.5,61.7,2,8
22017,15850,20,66.2,60,3,8
20082,20252,16,72,64,4,8
18334,22017,16,74.6,63.4,5,8
18255,20082,16,72.3,59.9,6,8
17135,18334,14,67.5,54.4,7,8
17726,18255,16,69.4,53.5,1,8
20263,17135,17,71.3,56.4,2,8
19156,17726,17,72.4,56.1,3,8
17798,20263,16,72.3,59.1,4,8
16996,19156,14,70.8,61.3,5,8
16312,17798,11,67.6,64.3,6,8
14692,16996,16,66.4,52.6,7,8
15720,16312,13,63,51.8,1,8
17324,14692,20,66.4,52.2,2,8
17446,15720,17,68.9,57,3,8
18537,17324,16,66.7,51.5,4,8
17862,17446,17,65.3,51.5,5,8
17035,18537,16,68.5,57,6,8
15051,17862,14,67.3,59.4,7,8
16004,17035,13,65.7,60.5,1,8
20457,15051,12,65.9,57.2,2,8
21373,16004,20,67.6,55.5,3,8
22694,20457,16,72.6,59.1,4,8
18935,21373,16,73.3,62.1,5,8
16759,22694,16,75.8,64.3,6,8
15143,18935,13,71,55.5,7,8
18121,16759,13,64.7,51.6,1,8
21060,15143,20,66.3,56.2,2,9
23715,18121,19,74.2,67.3,3,9
20604,21060,17,76.5,68.7,4,9
20432,23715,14,78.1,69.9,5,9
22429,20604,16,74.5,59.8,6,9
21950,20432,16,71.7,57.6,7,9
16441,22429,16,75.8,65.6,1,9
16786,21950,14,78,69.3,2,9
16142,16441,17,67.8,55.3,3,9
16638,16786,13,64.2,51.6,4,9
17904,16142,19,62.3,52.3,5,9
15801,16638,19,62.8,55.9,6,9
14305,17904,19,68.2,62,7,9
14386,15801,14,61.9,49,1,9
15576,14305,19,56.3,49.6,2,9
15693,14386,19,56.4,45.1,3,9
15645,15576,19,55,43,4,9
15696,15693,19,58,50.9,5,9
14592,15645,19,58.5,46.7,6,9
14137,15696,19,59.7,46.3,7,9
16078,14592,19,51.5,35.7,1,9
15775,14137,19,57.8,47.7,2,9
15693,16078,19,67.8,63.6,3,9
15654,15775,19,63.3,49.8,4,9
15584,15693,19,56.7,42.2,5,9
15288,15654,19,59,49.3,6,9
15194,15584,19,56.7,49.8,7,9
16580,15288,19,62.1,51.4,1,9
16688,15194,19,67.4,55.3,2,9
15852,16580,19,69,59,3,9
15790,16688,19,65.5,58.3,4,10
15609,15852,19,58.1,54.8,5,10
14924,15790,18,57.4,55.1,6,10
14516,15609,19,56.2,52.3,7,10
14461,14924,19,55.1,48,1,10
15799,14516,18,57,55.1,2,10
15990,14461,19,53.2,40.3,3,10
15785,15799,19,53.5,41.5,4,10
15452,15990,19,62.5,54.4,5,10
14810,15785,19,64.6,52.1,6,10
14084,15452,19,55.8,37.7,7,10
14090,14810,18,53,37.7,1,10
15824,14084,19,48.1,41.8,2,10
16298,14090,19,49.2,38,3,10
17053,15824,18,52.1,44.5,4,10
16729,16298,18,66,59.2,5,10
15415,17053,18,69.2,63.4,6,10
14361,16729,18,66.8,64.4,7,10
14829,15415,18,62.8,54.7,1,10
16163,14361,18,59.8,53.8,2,10
16106,14829,18,49,34.7,3,10
16367,16163,18,45.2,31,4,10
16260,16106,18,52.9,47.1,5,10
15522,16367,18,51,47.8,6,10
14125,16260,18,50.2,46.9,7,10
14899,15522,18,49.6,43.8,1,10
15962,14125,18,53.4,41,2,10
16087,14899,18,51.7,40,3,10
16032,15962,18,51.7,37.9,4,10
15813,16087,18,53.2,45,5,10
14995,16032,18,57.4,51.5,6,10
15334,15813,18,48.1,37.5,7,11
16057,14995,18,45.3,35.7,1,11
16756,15334,18,42.3,36.1,2,11
16344,16057,17,39.7,25.1,3,11
16313,16756,17,43.2,19.6,4,11
16693,16344,17,50.6,31.6,5,11
16461,16313,17,54.9,38.3,6,11
15362,16693,17,46.1,39.9,7,11
15533,16461,17,43.4,35.3,1,11
16495,15362,17,39.5,23.8,2,11
16445,15533,17,45.7,31.3,3,11
16403,16495,17,45.3,32.3,4,11
16797,16445,17,49.8,43.7,5,11
16952,16403,17,52.8,46.5,6,11
16232,16797,17,41.1,26.8,7,11
16686,16952,17,35.5,25.5,1,11
17678,16232,17,31.6,16.1,2,11
18228,16686,17,34,21.2,3,11
18369,17678,17,38.8,35.8,4,11
17667,18228,17,33.3,17.3,5,11
18016,18369,17,27.3,6.8,6,11
16706,17667,17,35.3,16.3,7,11
15923,18016,17,28.7,9.5,1,11
16939,16706,17,32.2,11.9,2,11
16431,15923,17,46.7,29.6,3,11
17954,16939,17,55.5,51.5,4,11
15257,16431,17,54.8,38.3,5,11
16855,17954,17,37.8,30.2,6,11
16790,15257,11,32.9,27.7,7,11
16275,16855,17,28.9,20.1,1,11
17146,16790,17,26,15.5,2,12
18415,16275,17,42.5,33.3,3,12
17801,17146,17,48.1,37.3,4,12
18125,18415,17,33.3,21.7,5,12
17857,17801,17,39.4,36.5,6,12
16745,18125,18,35,19.9,7,12
18005,17857,17,30.8,20.3,1,12
19843,16745,17,37.2,35.2,2,12
19049,18005,18,31.1,15.9,3,12
