"","x"
"1493",-65.6546833333334
"1496",-62.6118943333331
"1497",-67.7034343333332
"1501",21.985204666667
"1502",15.7968936666664
"1512",58.060428333333
"1513",19.9828833333333
"1531",-26.386133666666
"1533",-41.0933693333336
"1539",-74.9954566666665
"1550",57.9684060000002
"1551",26.4096900000002
"1560",12.8809549999999
"1563",-2.82109600000013
"1568",-40.7817873333333
"1570",-12.1955516666669
"1585",-32.2297373333336
"1592",80.2029613333334
"1604",36.2919656666668
"1605",39.4593689999999
"1607",64.5553549999997
"1614",40.0691616666668
"1615",37.9671559999997
"1626",34.4804216666669
"1630",-59.2158473333332
"1635",14.222815666667
"1636",15.3664053333334
"1642",-25.2551256666668
"1644",2.01004166666689
"1646",-32.4821566666665
"1648",7.11216900000022
"1658",20.3399343333331
"1661",65.6723966666668
"1667",9.24890400000004
"1683",-3.38821833333327
"1690",-7.36747233333358
"1694",-44.1001136666666
"1695",-95.8880896666667
"1696",-96.1898963333335
"1697",-119.663822666666
"1704",-18.8542593333334
"1705",0.666627333333508
"1709",5.42774133333319
"1714",-33.4547156666667
"1716",-87.803981
"1719",-58.6681396666663
"1721",-61.3581060000004
"1731",-27.9724883333333
"1734",-47.0168216666668
"1735",-63.9521089999998
"1738",-17.6229676666667
"1739",-16.1919100000002
"1740",39.0702126666665
"1742",45.6681043333335
"1747",77.2036946666672
"1749",36.7320163333331
"1751",19.0925113333333
"1752",35.2272123333332
"1755",31.6684246666669
"1757",67.3599346666667
"1760",59.4031780000003
"1766",71.7562543333331
"1767",51.5152489999998
"1770",92.8340336666668
"1787",11.4657493333332
"1790",-26.858287
"1794",-19.0422463333337
"1798",-62.5238490000004
"1802",-24.3656693333332
"1807",-100.024794333333
"1809",-34.5310139999999
"1821",-16.5885109999997
"1824",-32.4213449999997
"1826",-36.2766606666667
"1828",-38.3949199999997
"1831",-88.0751310000001
"1833",-5.27597533333369
"1839",14.0645666666667
"1851",-2.75365466666631
"1852",8.48737333333315
"1857",11.4690606666666
"1860",19.7799186666668
"1864",10.558358
"1868",9.4316243333335
"1872",20.7838586666667
"1876",21.8588246666664
"1879",73.8568043333332
"1881",-13.1649316666671
"1892",17.935333666667
"1895",35.6139096666664
"1898",-8.93916366666667
"1904",10.6639963333332
"1919",-23.4157946666667
"1923",-8.86016866666637
"1930",-17.8603973333334
"1938",-27.0342636666669
"1946",16.5991919999999
"1949",-4.85273833333349
"1961",21.7234333333336
"1969",-0.847040666666771
"1972",-32.1536583333336
"1979",-40.1147050000002
"1993",-9.59743533333335
"1996",3.21767100000011
"2011",27.017282
"2015",31.5297893333334
"2021",47.5867929999999
"2023",41.5017023333335
"2038",-27.8749003333332
"2039",-63.6151636666671
"2045",-76.8459706666667
"2046",-80.0654569999999
"2047",-77.5355630000004
"2053",38.577581
"2055",40.8776010000001
"2062",16.5817693333331
"2064",35.9724663333329
"2069",61.405096
"2070",38.269185666667
"2072",-1.33686533333389
"2079",-15.6013150000001
"2088",52.1769393333336
"2097",61.8215326666666
"2104",43.2907666666665
"2109",34.8756363333337
"2110",50.2097686666666
"2120",-13.6930153333333
"2121",-28.4787779999999
"2125",-121.474535
"2127",-93.2447503333335
"2130",-103.339806666667
"2138",17.6153963333334
"2139",18.3753516666666
"2152",-39.4807960000001
"2158",-40.3111736666665
"2161",-21.5589343333334
"2166",62.3635196666664
"2168",31.9252353333336
"2175",30.8895596666664
"2178",42.2059703333332
"2181",106.280361333333
"2187",12.9727783333333
"2194",57.4169753333335
"2195",56.7777523333334
"2201",12.6056763333333
"2223",15.6244296666669
"2225",11.6005590000004
"2229",6.49870466666653
"2232",-11.3623316666665
"2237",-4.09107366666672
"2240",-12.6214296666665
"2244",-1.64072166666688
"2245",18.8264406666667
"2246",2.89921899999968
"2251",0.26778933333344
"2252",31.5633303333334
"2260",4.2067219999999
"2262",5.67200300000036
"2268",-36.9262676666665
"2275",29.479245
"2276",-19.6345413333329
"2277",-9.21987599999966
"2282",7.71174266666685
"2292",39.1788390000002
"2295",19.2066299999999
"2298",-3.66031733333307
"2300",1.06184133333318
"2302",-2.75386666666668
"2309",13.6447503333334
"2316",19.8506146666664
"2338",-19.6090909999998
"2339",-20.2433103333333
"2340",-13.9906056666666
"2343",14.7806099999998
"2344",13.8889813333333
"2352",-12.3746993333327
"2364",-21.7382233333331
"2371",5.04277433333368
"2377",-26.570422
"2380",-22.1661520000002
"2383",-44.5123660000004
"2385",-16.9466593333334
"2395",17.9800119999993
"2396",0.870043333333115
"2400",-14.8077410000001
"2404",26.6688353333332
"2405",8.98496233333344
"2411",-4.76698133333321
"2415",21.8990006666668
"2422",42.0978453333332
"2428",17.2869039999998
"2446",27.2449333333334
"2451",1.97833633333357
"2455",48.7116353333333
"2456",-0.0625576666668621
"2463",-149.107506333333
"2479",34.0685819999999
"2485",68.0057813333333
"2494",77.0954506666665
"2496",71.8916663333334
"2497",81.2776470000003
"2501",74.4493716666666
"2509",-14.2557553333331
"2526",-21.7827970000001
"2530",-1.355368
"2531",5.49947266666618
"2535",9.11456966666674
"2539",-13.9500840000003
"2540",-27.8756623333334
"2541",-71.5966763333333
"2546",-20.111844
"2548",-52.0041076666669
"2555",-33.3222316666665
"2562",23.3198713333331
"2566",-10.4381926666665
"2570",-0.862701000000015
"2583",36.8142269999998
