OBSPWR,4HR_FCSTPWR,OBS_DIFF,4HR_DIFF,4HR_ERROR,DIFF_ERROR
220.2,253.1,17.8,-3.2,32.9,-21
122.3,236.3,-97.9,-16.8,114,81.1
174.1,247.4,51.8,11.1,73.3,-40.7
305.2,292.6,131.1,45.2,-12.6,-85.9
516,354.2,210.8,61.6,-161.8,-149.2
608.2,396.4,92.2,42.2,-211.8,-50
642.4,435.6,34.2,39.2,-206.8,5
663.2,457.2,20.8,21.6,-206,0.8
621.7,480.7,-41.5,23.5,-141,65
745.8,537.5,124.1,56.8,-208.3,-67.3
1073.4,670.3,327.6,132.8,-403.1,-194.8
1500.4,871.6,427,201.3,-628.8,-225.7
1583.7,1001.2,83.3,129.6,-582.5,46.3
1628.6,1121.2,44.9,120,-507.4,75.1
1645.8,1205.6,17.2,84.4,-440.2,67.2
1650.8,1259,5,53.4,-391.8,48.4
1654.3,1315.6,3.5,56.6,-338.7,53.1
1657.9,1350.1,3.6,34.5,-307.8,30.9
1658.7,1361.4,0.8,11.3,-297.3,10.5
1657.1,1390.4,-1.6,29,-266.7,30.6
1655.2,1425.7,-1.9,35.3,-229.5,37.2
1651.1,1409.9,-4.1,-15.8,-241.2,-11.7
1652.9,1430.4,1.8,20.5,-222.5,18.7
1654.7,1447.4,1.8,17,-207.3,15.2
1658.9,1461.5,4.2,14.1,-197.4,9.9
1657,1465.6,-1.9,4.1,-191.4,6
1658.3,1478.4,1.3,12.8,-179.9,11.5
1657.4,1491.9,-0.9,13.5,-165.5,14.4
1660.8,1509.6,3.4,17.7,-151.2,14.3
1659.1,1528.8,-1.7,19.2,-130.3,20.9
1657.7,1512.2,-1.4,-16.6,-145.5,-15.2
1654.2,1501.3,-3.5,-10.9,-152.9,-7.4
1656.6,1515.7,2.4,14.4,-140.9,12
1654.4,1518.5,-2.2,2.8,-135.9,5
1655.5,1533.6,1.1,15.1,-121.9,14
1656.6,1527.5,1.1,-6.1,-129.1,-7.2
1651,1513.5,-5.6,-14,-137.5,-8.4
1634.8,1482.2,-16.2,-31.3,-152.6,-15.1
1648.9,1490.3,14.1,8.1,-158.6,-6
1639.9,1461.7,-9,-28.6,-178.2,-19.6
1578.6,1433.7,-61.3,-28,-144.9,33.3
1556.9,1445.8,-21.7,12.1,-111.1,33.8
1529.4,1433,-27.5,-12.8,-96.4,14.7
1426,1387.6,-103.4,-45.4,-38.4,58
1339.5,1318.5,-86.5,-69.1,-21,17.4
1173.1,1241.4,-166.4,-77.1,68.3,89.3
971.6,1158.5,-201.5,-82.9,186.9,118.6
863.5,1066.6,-108.1,-91.9,203.1,16.2
671.2,985.8,-192.3,-80.8,314.6,111.5
478.1,869.5,-193.1,-116.3,391.4,76.8
427.9,779.7,-50.2,-89.8,351.8,-39.6
463.2,727.7,35.3,-52,264.5,-87.3
319.5,683.3,-143.7,-44.4,363.8,99.3
224.7,604.9,-94.8,-78.4,380.2,16.4
294.3,540.8,69.6,-64.1,246.5,-133.7
395,536.5,100.7,-4.3,141.5,-105
559.6,557.1,164.6,20.6,-2.5,-144
704,611.9,144.4,54.8,-92.1,-89.6
831.2,649.1,127.2,37.2,-182.1,-90
920.2,702.6,89,53.5,-217.6,-35.5
967.2,723.7,47,21.1,-243.5,-25.9
1096,811.4,128.8,87.7,-284.6,-41.1
1163.7,861.6,67.7,50.2,-302.1,-17.5
1227.4,948,63.7,86.4,-279.4,22.7
1222.4,980.1,-5,32.1,-242.3,37.1
1217.2,1000.5,-5.2,20.4,-216.7,25.6
1223.8,1041.1,6.6,40.6,-182.7,34
1287.5,1064.6,63.7,23.5,-222.9,-40.2
1273.1,1072.9,-14.4,8.3,-200.2,22.7
1187.4,1057.2,-85.7,-15.7,-130.2,70
1095.5,1030.9,-91.9,-26.3,-64.6,65.6
1048.7,995.4,-46.8,-35.5,-53.3,11.3
